injector_w_id,producer_w_id,min_injection_hour,max_injection_hour,avg_injection_hour,stddev_injection_hour,min_injection_steam,max_injection_steam,avg_injection_steam,stddev_injection_steam,min_production_oil,max_production_oil,avg_production_oil,stddev_production_oil,min_sor,max_sor,avg_sor,stddev_sor
379,378,3,744,634.6470588,164.8920737,771.5,5082.4,3092.279245,1155.397252,0.9,1617.1,333.4226415,319.3286078,1.271872641,1914.333333,56.99590805,259.260982
381,380,158,744,617.4871795,172.8570861,862,6598.2,3292.959375,1334.949543,5.1,642.3,241.765625,177.0909034,5.999052357,1293.764706,67.61750469,222.5581614
383,382,336,744,680.1666667,104.7850862,1650.2,6901.7,3748.710714,1137.567332,9.7,877.7,215.1607143,240.9785061,4.264864246,363.7216495,48.67569169,70.10690685
384,385,49,744,585.5806452,228.6458359,301.7,6966.8,3392.072727,1437.661581,12.6,439.1,190.4090909,111.5749547,7.657360406,524.1428571,48.90183208,110.5180712
387,386,36,744,670.1269841,141.3739598,70.9,9916.7,5575.347541,1982.327008,59.9,2478.4,1031.47377,498.4693669,0.032915506,87.40066778,8.014535278,11.10632864
388,389,8,744,691.3692308,114.2426925,0.2,12922.5,7640.738095,2943.62423,53.6,3148.3,1566.430159,798.1700831,0.001069519,104.0238095,8.151476013,14.72446123
391,390,149,744,687.96875,109.1121411,1215.8,12396,7278.167742,2712.481299,24.2,3724,1590.274194,728.9047889,1.250214823,82.89669421,6.38247107,10.02477402
392,393,292,744,700.9375,87.50616758,2987.4,10954.2,6619.167213,1941.032542,12,2501.6,1285.496721,504.8863287,1.745890136,400.35,12.04007587,50.18404034
395,394,396,744,699.4375,79.77207114,2860.3,8717.8,5785.945902,1123.64726,30.8,2093.8,1051.778689,399.4414422,2.435238417,161.3506494,11.26442345,27.49795685
396,397,381,744,696.328125,84.98647039,2480.6,13974.7,7394.939344,3298.749553,14.1,4221.4,1791.940984,1264.742704,1.88091648,512.5673759,18.43715414,68.12673268
400,399,30,744,662.4736842,146.7851467,111,8550.8,4945.994521,1833.865075,0.1,2379.7,558.1219178,506.768787,0.334236676,5393,104.4837491,627.4667505
405,404,57,744,650.3243243,145.8034996,287.1,9295.9,4243.398571,1572.578435,0.1,1334.1,426.9957143,286.3883847,2.61944382,3605,134.1538938,606.0118253
407,406,127,744,658.8591549,135.009449,288.7,7607.8,4458.159701,1667.108855,1.8,1115.9,416.980597,291.1752628,2.925025329,2107.111111,76.91634592,325.1732371
409,408,113,744,662.4,134.9654169,469,7106.8,4511.485075,1556.073469,0.7,1479.3,404.0970149,355.0437821,2.663259512,7781.857143,183.1967261,979.1705307
411,410,76,744,669.0266667,137.8032257,420.7,7298.2,4206.793056,1155.601736,6.6,1432.9,444.0791667,284.4317016,3.080255016,269.6410256,21.10280792,37.60442555
413,412,227,744,681.4868421,104.4257303,878.2,8587,4582.594521,1671.914283,67,1708.7,579.2931507,331.4801261,2.734973528,62.1962111,11.45134855,10.69557952
415,414,48,744,666.5810811,147.1396696,635.5,29771.3,4964.283099,4590.758277,36.7,1367.3,440.384507,259.2171215,2.675255912,106.375,16.15534624,17.64515846
417,416,1,744,650.8333333,163.6257323,1058.8,8307.2,4782.028358,1644.070891,51.6,1141.2,406.0283582,233.2866083,3.749705119,85.68410853,16.66095222,13.55144259
419,418,176,744,664.260274,134.2550462,721.1,8224.4,4077.186885,1325.372168,18.7,1684.9,353.9819672,264.0850567,1.865214553,222.4973262,21.81480895,31.13670451
421,420,316,744,677.0454545,123.5512145,2801.3,9955.3,7272.019048,2080.703605,492.5,2646.8,1487.809524,556.9385264,3.177346229,10.22120379,5.222545267,1.538427459
